SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,Qm
0.018,2,100,4.38,1.5,54.94,25,7,27.73215
0.018,6,100,4.38,1.5,54.94,25,7,12.94048333
0.018,10,100,4.38,1.5,54.94,25,7,8.4875
0.018,14,100,4.38,1.5,54.94,25,7,6.326528571
0.018,18,100,4.38,1.5,54.94,25,7,5.027777778
0.018,20,100,4.38,1.5,54.94,25,7,4.557145
225,10,1,4.26,1.6,112.41,25,7.6,0.0898716
225,10,2,4.26,1.6,112.41,25,7.6,0.194623
225,10,3,4.26,1.6,112.41,25,7.6,0.289446
225,10,4,4.26,1.6,112.41,25,7.6,0.359446
225,10,5,4.26,1.6,112.41,25,7.6,0.484056
225,10,10.027,4.26,1.6,112.41,25,7.6,0.82414
225,10,1.00425,4.26,1.6,112.41,25,7.6,0.1
225,10,1.98263,4.26,1.6,112.41,25,7.6,0.191488
225,10,2.98845,4.26,1.6,112.41,25,7.6,0.292279
225,10,3.96801,4.26,1.6,112.41,25,7.6,0.392542
225,10,4.97265,4.26,1.6,112.41,25,7.6,0.493984
225,10,9.94718,4.26,1.6,112.41,25,7.6,0.99302
225,10,0.992701,4.26,1.6,112.41,25,7.6,0.0437956
225,10,2,4.26,1.6,112.41,25,7.6,0.0408759
225,10,2.9927,4.26,1.6,112.41,25,7.6,0.0408759
225,10,4,4.26,1.6,112.41,25,7.6,0.0175182
225,10,5.0073,4.26,1.6,112.41,25,7.6,0.0379562
225,10,1.11386,4.26,1.6,112.41,25,7.6,0.03
225,10,3.00743,4.26,1.6,112.41,25,7.6,0.165
225,10,5.12376,4.26,1.6,112.41,25,7.6,0.18
225,10,10.0248,4.26,1.6,112.41,25,7.6,0.355
225,10,20.0495,4.26,1.6,112.41,25,7.6,0.6
225,10,39.9876,4.26,1.6,112.41,25,7.6,1.2
75,4,1,4.19,1.9,63.55,25,5,0.111969
75,4,2,4.19,1.9,63.55,25,5,0.200772
75,4,5,4.19,1.9,63.55,25,5,0.324324
75,4,10,4.19,1.9,63.55,25,5,0.548263
75,4,20,4.19,1.9,63.55,25,5,0.675676
75,4,5,4.19,1.9,63.55,25,1,0.187857
75,4,5,4.19,1.9,63.55,25,2,0.228571
75,4,5,4.19,1.9,63.55,25,3,0.312143
75,4,5,4.19,1.9,63.55,25,4,0.359286
75,4,5,4.19,1.9,63.55,25,5,0.376429
75,4,5,4.19,1.9,63.55,25,6,0.389286
75,4,5,4.19,1.9,63.55,25,7,0.367857
75,4,1,4.19,1.9,63.55,25,5,0.142857
75,4,2,4.19,1.9,63.55,25,5,0.285714
75,4,5,4.19,1.9,63.55,25,5,0.579151
75,4,10,4.19,1.9,63.55,25,5,0.938224
75,4,20,4.19,1.9,63.55,25,5,1.01931
75,4,5,4.19,1.9,63.55,25,1,0.258571
75,4,5,4.19,1.9,63.55,25,2,0.325
75,4,5,4.19,1.9,63.55,25,3,0.464286
75,4,5,4.19,1.9,63.55,25,4,0.573571
75,4,5,4.19,1.9,63.55,25,5,0.601429
75,4,5,4.19,1.9,63.55,25,6,0.554286
75,4,5,4.19,1.9,63.55,25,7,0.502857
,0.1,309.9,,2,200.59,25,,652.647
,0.2,309.9,,2,200.59,25,,364.412
,0.3,309.9,,2,200.59,25,,261.471
,0.4,309.9,,2,200.59,25,,187.353
,0.5,309.9,,2,200.59,25,,170.882
,0.6,309.9,,2,200.59,25,,137.941
,0.7,309.9,,2,200.59,25,,127.647
,0.8,309.9,,2,200.59,25,,121.471
,0.9,309.9,,2,200.59,25,,111.176
,1,309.9,,2,200.59,25,,98.8235
10,0.5,5,,2.18,74.922,30,,1.44829
10,0.5,10,,2.18,74.922,30,,3.28695
10,0.5,15,,2.18,74.922,30,,9.16003
10,0.5,20,,2.18,74.922,30,,11.6601
10,0.5,25,,2.18,74.922,30,,13.0356
10,0.5,30,,2.18,74.922,30,,23.8691
3350,2,5,3.75,1.6,51.996,25,6,0.0586841
550,2,5,3.75,1.6,51.996,25,6,0.176516
48,2,5,3.75,1.6,51.996,25,6,0.498425
48,1,5,3.75,1.6,51.996,25,6,0.249375
48,4,5,3.75,1.6,51.996,25,6,0.678125
48,2,5,3.75,1.6,51.996,25,3,0.793605
48,2,5,3.75,1.6,51.996,25,5,0.764535
48,2,5,3.75,1.6,51.996,25,7,0.264535
48,2,5,3.75,1.6,51.996,25,9,0.177326
3350,2,5,3.75,1.6,51.996,25,6,0.271307
550,2,5,3.75,1.6,51.996,25,6,0.289773
48,2,5,3.75,1.6,51.996,25,6,0.396307
48,1,5,3.75,1.6,51.996,25,6,0.282813
48,4,5,3.75,1.6,51.996,25,6,0.43125
48,2,5,3.75,1.6,51.996,25,3,0.246591
48,2,5,3.75,1.6,51.996,25,5,0.342045
48,2,5,3.75,1.6,51.996,25,7,0.413636
48,2,5,3.75,1.6,51.996,25,9,0.572727
4000,16.7,5,4.01,2.33,207.2,25,,3.04E-05
4000,16.7,5,4.01,2.33,207.2,25,,1.12E-05
