SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
0.007961,0.4,17.2612,4.01,2.33,207.2,15,6,1.108293336
0.007961,0.4,26.3526,4.01,2.33,207.2,15,6,1.108293336
0.007961,0.4,34.0316,4.01,2.33,207.2,15,6,1.108293336
0.007961,0.4,40.9154,4.01,2.33,207.2,15,6,1.108293336
0.007961,0.4,8.60656,4.01,2.33,207.2,25,6,1.119999757
0.007961,0.4,14.6311,4.01,2.33,207.2,25,6,1.119999757
0.007961,0.4,23.7295,4.01,2.33,207.2,25,6,1.119999757
0.007961,0.4,31.9672,4.01,2.33,207.2,25,6,1.119999757
0.007961,0.4,40.6967,4.01,2.33,207.2,25,6,1.119999757
0.007961,0.4,8.90818,4.01,2.33,207.2,35,6,1.147429897
0.007961,0.4,13.0001,4.01,2.33,207.2,35,6,1.147429897
0.007961,0.4,21.9183,4.01,2.33,207.2,35,6,1.147429897
0.007961,0.4,27.2428,4.01,2.33,207.2,35,6,1.147429897
0.007961,0.4,35.1314,4.01,2.33,207.2,35,6,1.147429897
0.1,0.6,400,4.01,2.33,207.2,25,,2.853871956
0.1,0.6,500,4.01,2.33,207.2,25,,2.853871956
500,1,0.0862069,4.26,1.6,112.41,25,,-0.815564112
500,1,0.17931,4.26,1.6,112.41,25,,-0.815564112
500,1,0.465517,4.26,1.6,112.41,25,,-0.815564112
500,1,0.955172,4.26,1.6,112.41,25,,-0.815564112
500,1,0.0862069,4.01,2.33,207.2,25,,-0.753624536
500,1,0.175862,4.01,2.33,207.2,25,,-0.753624536
500,1,0.451724,4.01,2.33,207.2,25,,-0.753624536
500,1,0.944828,4.01,2.33,207.2,25,,-0.753624536
500,1,0.0896552,4.3,1.6,65.93,25,,-0.84863015
500,1,0.182759,4.3,1.6,65.93,25,,-0.84863015
500,1,0.468966,4.3,1.6,65.93,25,,-0.84863015
500,1,0.958621,4.3,1.6,65.93,25,,-0.84863015
500,1,0.0756014,4.26,1.6,112.41,25,,-0.769576626
500,1,0.158076,4.26,1.6,112.41,25,,-0.769576626
500,1,0.43299,4.26,1.6,112.41,25,,-0.769576626
500,1,0.917526,4.26,1.6,112.41,25,,-0.769576626
500,1,0.0756014,4.01,2.33,207.2,25,,-0.66452204
500,1,0.158076,4.01,2.33,207.2,25,,-0.66452204
500,1,0.43299,4.01,2.33,207.2,25,,-0.66452204
500,1,0.917526,4.01,2.33,207.2,25,,-0.66452204
500,1,0.0790378,4.3,1.6,65.93,25,,-0.820821771
500,1,0.168385,4.3,1.6,65.93,25,,-0.820821771
500,1,0.443299,4.3,1.6,65.93,25,,-0.820821771
500,1,0.917526,4.3,1.6,65.93,25,,-0.820821771
150,5,5,4.01,2.33,207.2,25,5,-0.27083521
150,5,10,4.01,2.33,207.2,25,5,-0.27083521
150,5,15,4.01,2.33,207.2,25,5,-0.27083521
150,5,20,4.01,2.33,207.2,25,5,-0.27083521
150,5,25,4.01,2.33,207.2,25,5,-0.27083521
150,5,5,4.01,2.33,207.2,25,5,-0.085656843
150,5,10,4.01,2.33,207.2,25,5,-0.085656843
150,5,15,4.01,2.33,207.2,25,5,-0.085656843
150,5,20,4.01,2.33,207.2,25,5,-0.085656843
150,5,25,4.01,2.33,207.2,25,5,-0.085656843
225,5,5,4.01,2.33,207.2,25,5,-0.173925197
225,5,10,4.01,2.33,207.2,25,5,-0.173925197
225,5,15,4.01,2.33,207.2,25,5,-0.173925197
225,5,20,4.01,2.33,207.2,25,5,-0.173925197
225,5,25,4.01,2.33,207.2,25,5,-0.173925197
225,5,5,4.01,2.33,207.2,25,5,-0.010105436
225,5,10,4.01,2.33,207.2,25,5,-0.010105436
225,5,15,4.01,2.33,207.2,25,5,-0.010105436
225,5,20,4.01,2.33,207.2,25,5,-0.010105436
225,5,25,4.01,2.33,207.2,25,5,-0.010105436
100,1.25,0.757962,4.01,2.33,207.2,25,7,0.06069784
100,1.25,1.66083,4.01,2.33,207.2,25,7,0.06069784
100,1.25,2.11783,4.01,2.33,207.2,25,7,0.06069784
100,1.25,2.63057,4.01,2.33,207.2,25,7,0.06069784
100,1.25,3.62261,4.01,2.33,207.2,25,7,0.06069784
0.1,1.25,0.613057,4.01,2.33,207.2,25,7,0.23299611
0.1,1.25,1.32643,4.01,2.33,207.2,25,7,0.23299611
0.1,1.25,2.00637,4.01,2.33,207.2,25,7,0.23299611
0.1,1.25,2.56369,4.01,2.33,207.2,25,7,0.23299611
0.1,1.25,3.46656,4.01,2.33,207.2,25,7,0.23299611
9.5,1,9.70655,4.01,2.33,207.2,20,7,0.129754323
9.5,1,19.6388,4.01,2.33,207.2,20,7,0.129754323
9.5,1,29.5711,4.01,2.33,207.2,20,7,0.129754323
9.5,1,39.5034,4.01,2.33,207.2,20,7,0.129754323
9.5,1,49.5485,4.01,2.33,207.2,20,7,0.129754323
9.5,1,9.81941,4.19,1.9,63.55,20,7,-0.120101676
9.5,1,19.6388,4.19,1.9,63.55,20,7,-0.120101676
9.5,1,29.684,4.19,1.9,63.55,20,7,-0.120101676
9.5,1,39.5034,4.19,1.9,63.55,20,7,-0.120101676
9.5,1,49.5485,4.19,1.9,63.55,20,7,-0.120101676
9.5,1,9.81941,4.26,1.6,112.41,20,7,-0.183559832
9.5,1,19.7517,4.26,1.6,112.41,20,7,-0.183559832
9.5,1,29.684,4.26,1.6,112.41,20,7,-0.183559832
9.5,1,39.6163,4.26,1.6,112.41,20,7,-0.183559832
9.5,1,49.5485,4.26,1.6,112.41,20,7,-0.183559832
9.5,1,9.81941,4.04,1.91,58.69,20,7,-0.115601174
9.5,1,19.8646,4.04,1.91,58.69,20,7,-0.115601174
9.5,1,29.684,4.04,1.91,58.69,20,7,-0.115601174
